Parameter Set,Parameters,Cosine Similarity,BERT Score (F1)
69,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8723448072756792,0.8801972508430481
70,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.6398676024836439,0.7784305691719056
71,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8046232094041509,0.8104876041412353
72,"{'temperature': 0.9999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.8922483502983363,0.7978886604309082
73,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.6932513777287427,0.7883138060569763
74,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.8829767498860847,0.8053477048873902
75,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.7598850613701664,0.7370951056480408
76,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.6690324870515798,0.7818205237388611
77,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7832951738759889,0.7820746779441834
78,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.6008240355395797,0.8004607439041138
79,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.7592794743341622,0.8350584864616394
80,"{'temperature': 0.9999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7675252869856133,0.7954655766487122
81,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 2048}",0.8734576642546008,0.832509982585907
82,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 3072}",0.6475680161837886,0.7845308661460877
83,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 4096}",0.5793946379154826,0.8313037753105164
84,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 0.9, 'max_new_tokens': 8192}",0.822494032221676,0.7849517107009888
85,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.42301696515298,0.8166519403457642
86,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 3072}",0.20584169948299286,0.7320212006568909
87,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 4096}",0.4704797908276346,0.764073121547699
88,"{'temperature': 1.0999999999999999, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 8192}",0.4810965154539547,0.8208767056465149
89,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 2048}",0.7591386255807927,0.7892029762268067
90,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 3072}",0.9162723744704062,0.821502959728241
91,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.9392847082474585,0.7704464316368103
92,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 8192}",0.7823095637352577,0.7694700002670288
93,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 2048}",0.8599549428375417,0.83900386095047
94,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 3072}",0.789278582573979,0.8007077693939209
95,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8614600113355755,0.8368389487266541
96,"{'temperature': 1.0999999999999999, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 8192}",0.7904097305529988,0.8196403741836548
